referrer,count,uniques,date
waves.digitalocean.com,208,76,2026-04-05
github.com,68,14,2026-04-05
digitalocean.com,48,7,2026-04-05
Google,43,25,2026-04-05
statics.teams.cdn.office.net,3,2,2026-04-05
DuckDuckGo,2,1,2026-04-05
Bing,1,1,2026-04-05
search.brave.com,1,1,2026-04-05
